yearmonth,1435.0,1436.0,1437.0,1440.0,1441.0,1442.0,1443.0,1449.0,1450.0,1451.0,1452.0,1454.0,1455.0,1457.0,1458.0,1462.0,1463.0,1464.0,1465.0,1466.0,1467.0,1468.0,1469.0,1470.0,1471.0,1472.0,1473.0,1474.0,1475.0,1477.0,1478.0,1479.0,1480.0,1481.0,1482.0,1484.0,1485.0,1486.0,1487.0,1489.0,1491.0,1492.0,1493.0,1494.0,1495.0,1496.0,1497.0,1498.0,1500.0,1501.0,1502.0,1503.0,1505.0,1545.0,1546.0,1548.0,1549.0,1551.0,1552.0,1554.0,1555.0,1556.0,1557.0,1558.0,1559.0,1563.0,1565.0,1566.0,1568.0,1569.0,1570.0,1571.0,1573.0,1574.0,1575.0,1577.0,1578.0,1579.0,1580.0,1581.0,1582.0,1584.0,1586.0,1587.0,1588.0,1592.0,1597.0,1598.0,1599.0,1600.0,1601.0,1602.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1640.0,1641.0,1642.0,1643.0,1644.0,1645.0,1646.0,1647.0,1648.0,1650.0,1651.0,1652.0,1653.0,1654.0,1655.0,1656.0,1657.0,1658.0,1659.0,1661.0,1662.0,1665.0,1666.0,1667.0,1670.0,1671.0,1673.0,1675.0,1676.0,1680.0,1681.0,1683.0,1684.0,1687.0,1688.0,1690.0,1694.0,1695.0,1696.0,1697.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1705.0,1706.0,1707.0,1708.0,1709.0,1712.0,1713.0,1715.0,1718.0,1719.0,1720.0,1722.0,1762.0,1763.0,1764.0,1765.0,1766.0,1767.0,1768.0,1769.0,1770.0,1771.0,1772.0,1773.0,1774.0,1775.0,1776.0,1777.0,1781.0,1782.0,1783.0,1784.0,1785.0,1786.0,1787.0,1788.0,1789.0,1790.0,1792.0,1793.0,1794.0,1795.0,1796.0,1797.0,1798.0,1799.0,1800.0,1801.0,1802.0,1803.0,1804.0,1805.0,1806.0,1807.0,1808.0,1809.0,1810.0,1811.0,1812.0,1813.0,1814.0,1815.0,1816.0,1820.0,1821.0,1823.0,1826.0,1827.0,1828.0,1829.0,1830.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2042.0,2043.0,2044.0,2046.0,2277.0,2278.0,2279.0,2280.0,2281.0,2282.0,2283.0,2284.0,2285.0,2286.0,2288.0,2289.0,2290.0,2291.0,2292.0,2293.0,2294.0,2295.0,2296.0,2297.0,2298.0,2299.0,2300.0,2301.0,2302.0,2303.0,2304.0,2305.0,2306.0,2307.0,2311.0,2314.0,2316.0,2317.0,2318.0,2319.0,2320.0,2321.0,2322.0,2323.0,2324.0,2325.0,2326.0,2327.0,2329.0,2330.0,2331.0,2332.0,2333.0,2334.0,2336.0,2338.0,2686.0,2687.0,2690.0,2692.0,2694.0,2695.0,2696.0,2700.0,3557.0,3559.0,3560.0,3561.0,3562.0,3563.0,3567.0,3568.0,3569.0,3570.0,4186.0,4189.0,4192.0,4193.0
2012-07,,,,,,,,,31.0,,,,,,,31.0,2.0,,,,2.0,3.0,3.0,,,2.0,3.0,2.0,,,1.0,2.0,,2.0,,,,2.0,,3.0,,,,,,1.0,,4.0,,,,,31.0,,,,,,,,,,,1.0,1.0,1.0,31.0,31.0,31.0,,2.0,31.0,31.0,,,2.0,31.0,2.0,,,,1.0,,,,31.0,,,,,31.0,,1.0,,,,,,,31.0,5.0,,3.0,10.0,,,,,1.0,,,,,31.0,2.0,4.0,4.0,2.0,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,31.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,28.0,,,,,31.0,31.0,29.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,30.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,31.0,31.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0
2012-08,,,,,,,,,31.0,,,,,,,31.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,,3.0,3.0,2.0,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,3.0,,,,,18.0,,,,,,,,,,,,,,31.0,31.0,31.0,,2.0,31.0,31.0,,,3.0,31.0,2.0,,,,,,,,31.0,,1.0,,,31.0,,1.0,,,,,,,31.0,5.0,,1.0,23.0,,,,,3.0,,,2.0,,31.0,2.0,4.0,4.0,2.0,2.0,,,1.0,1.0,2.0,,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,31.0,,,,1.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,1.0,31.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,31.0,,,,,31.0,29.0,29.0,,,2.0,,2.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,31.0,,,,,,,29.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,31.0,31.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0
2012-09,,,,,,,,,30.0,,,,,,,30.0,2.0,4.0,1.0,4.0,,5.0,2.0,4.0,,,1.0,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,3.0,,,,,28.0,,,,,,,,,,,,,,30.0,30.0,30.0,,2.0,30.0,28.0,,,2.0,30.0,2.0,,,,1.0,,,,30.0,,,,,30.0,,4.0,,,,,,,30.0,6.0,,1.0,30.0,,,,,,,,5.0,,30.0,2.0,3.0,4.0,2.0,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,30.0,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,30.0,,,,,30.0,30.0,30.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,30.0,,,,,,1.0,29.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,1.0
2012-10,,,,,,,,,31.0,,,,,,,31.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,31.0,31.0,31.0,,,31.0,31.0,,,,31.0,,,,,1.0,,,,31.0,,,,,31.0,,2.0,,,,,,,31.0,4.0,,2.0,31.0,,,,,,,,1.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,31.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,31.0,,,1.0,,29.0,31.0,31.0,,,1.0,,1.0,,,,,,2.0,2.0,,2.0,,,2.0,31.0,,,,,,,31.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,31.0,31.0,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,1.0
2012-11,,,,,,,,,30.0,,,,,,,30.0,,,,2.0,1.0,1.0,,2.0,3.0,,,,,1.0,3.0,,2.0,,,1.0,,,,1.0,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,30.0,,,,30.0,,,,,1.0,,,,30.0,,1.0,,,30.0,,1.0,,,,,,,30.0,5.0,,1.0,30.0,,,,,2.0,,,1.0,,30.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,30.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,30.0,,,,,29.0,30.0,28.0,,,2.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,30.0,,,,,,1.0,29.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,8.0,30.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,
2012-12,,,,,,,,,31.0,,,,,,,31.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,31.0,31.0,30.0,,,31.0,31.0,,,,31.0,,,,,1.0,,,,31.0,,,,,31.0,,2.0,,,,,,,31.0,4.0,,2.0,31.0,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,31.0,,,,,10.0,31.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,9.0,,,,,,,30.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,2.0,,,,
2013-01,,,,,,,,,31.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,31.0,31.0,18.0,,,24.0,31.0,,,,31.0,,,,,,,,,24.0,,1.0,,,31.0,,3.0,,,,,,,31.0,1.0,,1.0,31.0,,,,,,,,,,31.0,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,31.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,25.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
2013-02,,,,,,,,,28.0,,,,,,,28.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,28.0,28.0,25.0,,,27.0,28.0,,,,28.0,,,,,1.0,,,,28.0,,,,,28.0,,1.0,,,,,,,28.0,3.0,,1.0,28.0,,,,,1.0,,,1.0,,28.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,28.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,28.0,,,,,,28.0,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,28.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,
2013-03,,,,,,,,,31.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,31.0,31.0,31.0,,,31.0,31.0,,,1.0,31.0,,,,,1.0,,,,31.0,,1.0,,,31.0,,1.0,,,,,,,31.0,3.0,,2.0,31.0,,,,,,,,,,31.0,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,31.0,,,,,31.0,31.0,31.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,29.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,7.0,31.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,
2013-04,,,,,,,,,30.0,,,,,,,30.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,4.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,27.0,,,,30.0,,,,,1.0,,,,30.0,,,,,30.0,,4.0,,,,,,,30.0,5.0,,5.0,30.0,,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,30.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,30.0,,,,,30.0,30.0,30.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,30.0,,,,,,,30.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,27.0,30.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0
2013-05,,,,,,,,,31.0,,,,,,,31.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,2.0,,1.0,,2.0,,,,,2.0,,,1.0,,4.0,,,,,,,,,,,,,,,,1.0,,,31.0,31.0,31.0,,,31.0,31.0,,,1.0,31.0,,,,,1.0,,,,31.0,,1.0,,,31.0,,2.0,,,,,,,31.0,5.0,,2.0,31.0,,,,,1.0,,,1.0,,31.0,,3.0,2.0,2.0,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,31.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,5.0,,,,1.0,31.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,31.0,,,,,30.0,31.0,31.0,,,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,28.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,31.0,31.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0
2013-06,,,,,,,,,30.0,,,,,,,30.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,30.0,,,,30.0,,,,,1.0,,,,30.0,,,,,30.0,,5.0,,,,,,,30.0,6.0,,6.0,30.0,,,,,,,,,,30.0,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,30.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,30.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,30.0,,,,,30.0,30.0,30.0,,,,,2.0,,,,,,1.0,1.0,,1.0,,,1.0,30.0,,,,,,,29.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,28.0,30.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0
2013-07,,,,,,,,,31.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,31.0,31.0,31.0,,,31.0,31.0,,,1.0,25.0,,,,,1.0,,,,31.0,,1.0,,,31.0,,1.0,,,,,,,31.0,5.0,,1.0,24.0,,,,,,,,,,31.0,,2.0,2.0,2.0,,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,31.0,,,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,31.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,31.0,,,,,31.0,31.0,31.0,,,1.0,1.0,3.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,31.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,31.0,31.0,,,,,,,1.0,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0
2013-08,,,,,,,,,31.0,,,,,,,31.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,2.0,,,,2.0,,,,,2.0,,,3.0,,3.0,,,,,,,,,,,,,,,,1.0,,,31.0,31.0,31.0,,,31.0,31.0,,,,31.0,,,,,1.0,,,,31.0,,,,,28.0,,1.0,,,,,,,31.0,8.0,,2.0,31.0,,,,,,,,2.0,,31.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,31.0,,,,,,,,,,,,,,2.0,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,29.0,,,,,31.0,31.0,30.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,31.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,31.0,31.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,2.0,1.0,,,1.0
2013-09,,,,,,,,,30.0,,,,,,,30.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,30.0,,,1.0,30.0,,,,,1.0,,,,30.0,,1.0,,,29.0,,1.0,,,,,,,30.0,5.0,,1.0,30.0,,1.0,,,1.0,,,,,30.0,,2.0,2.0,2.0,,,,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,30.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,30.0,,,,,,,,,,,,,,7.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,28.0,,,,,30.0,30.0,27.0,,,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,30.0,,,,,,1.0,28.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,30.0,30.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,5.0,,,,,,1.0,,,6.0,1.0,1.0,,1.0
2013-10,,,,,,,,,31.0,,,,,,,31.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,2.0,,2.0,,,,,31.0,,,,,,,,,,,1.0,,,31.0,31.0,31.0,,,31.0,31.0,,,1.0,31.0,,,,,1.0,,,,31.0,,1.0,,,31.0,,2.0,,,,,,,31.0,8.0,,3.0,31.0,,31.0,,,,,,,,31.0,,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,25.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,31.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,31.0,,,,,31.0,31.0,31.0,,,1.0,1.0,2.0,,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,2.0,31.0,,,,,,1.0,30.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,3.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,22.0,31.0,,,,,,,1.0,,,,,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,1.0
2013-11,,,,,,,,,30.0,,,,,,,30.0,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,30.0,,,,30.0,,,,,1.0,,,,29.0,,,,,30.0,,2.0,,,,,,,30.0,7.0,,3.0,30.0,,30.0,,,1.0,,,,,30.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,30.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,30.0,1.0,,2.0,,30.0,30.0,30.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,30.0,,,,,,1.0,30.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
2013-12,,,,,,,,,31.0,,,,,,,31.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,31.0,31.0,23.0,,,23.0,31.0,,,,31.0,,,,,,,,,28.0,,1.0,,,29.0,,,,,,,,,31.0,4.0,,,31.0,,31.0,,,,,,1.0,,21.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,27.0,31.0,10.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,29.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,2.0,,1.0,,
2014-01,,,,,,,,,29.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,31.0,,,25.0,31.0,,,,30.0,,,,,,,,,21.0,,,,,29.0,,,,,,,,,31.0,2.0,,,31.0,,31.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,31.0,31.0,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,22.0,,,,,,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
2014-02,,,,,,,,,25.0,,,,,,,28.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,28.0,28.0,28.0,,,17.0,28.0,,,,28.0,,,,,1.0,,,,26.0,,,,,27.0,,1.0,,,,,,,28.0,2.0,,,28.0,,28.0,,,,,,,,13.0,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,28.0,,,,,27.0,28.0,9.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,28.0,,,,,,1.0,26.0,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,
2014-03,,,,,,,,,31.0,,,,,,,31.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,31.0,31.0,31.0,,,31.0,31.0,,,,31.0,,,,,1.0,,,,31.0,,,,,31.0,,1.0,,,,,,,31.0,3.0,,1.0,31.0,,31.0,,,1.0,,,1.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,31.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,31.0,,,,,31.0,31.0,31.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,31.0,,,,,,1.0,30.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,4.0,24.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,
2014-04,,,,,,,,,30.0,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,30.0,30.0,30.0,,,30.0,30.0,1.0,1.0,1.0,30.0,,,,,1.0,,,,30.0,,1.0,,,30.0,,1.0,,,,,,,30.0,5.0,,4.0,30.0,,30.0,,,,,,,,30.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,30.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,30.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,30.0,,,,,30.0,30.0,30.0,,,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,30.0,,,,,,1.0,29.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,30.0,30.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0
